Site,Volume,Page(s),Type,Area,Cult age,Age max [ka],Age dated min [ka],Age [ka BP],Longitude,Latitude
P028911,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,101.47,36.671
P028912,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,101.643,36.683
P028913,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,101.52,36.073
P028914,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,101.881,36.089
P028915,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,101.924,36.096
P028916,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,101.916,36.041
P028917,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,101.933,36.036
P028918,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.006,36.057
P028919,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.031,36.164
P028920,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,100.27,35.317
P028921,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.533,36.897
P028922,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.517,36.918
P028923,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.035,36.538
P028924,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.034,36.495
P028925,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.025,36.483
P028926,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.021,36.473
P028927,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.056,36.489
P028928,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.122,36.477
P028929,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.112,36.45
P028930,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.02,36.388
P028931,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.044,36.416
P028932,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.246,36.47
P028933,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.382,36.439
P028934,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.503,36.431
P028935,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.497,36.371
P028936,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.52,36.366
P028937,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.594,36.41
P028938,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.692,36.165
P028939,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.693,36.243
P028940,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.764,35.848
P028941,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.532,35.802
P028942,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.437,35.837
P028943,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.435,35.825
P028944,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.388,35.742
P028945,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.334,35.726
P028946,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.341,35.71
P028947,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.043,35.677
P028948,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.933,36.191
P028949,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.925,36.101
P028950,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.913,36.096
P028951,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.9,36.096
P028952,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.899,36.164
P028953,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.893,36.104
P028954,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.909,36.005
P028955,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.893,35.992
P028956,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.923,35.95
P028957,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,101.712,36.812
P028958,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.803,36.093
P028959,Qinghai,15-16,general map,complete province,Banshan,4.5,4.2,4.35,102.801,36.078
P028960,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,100.378,36.296
P028961,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,101.513,35.984
P028962,Qinghai,15-16,general map,complete province,Machang,4.2,4,4.1,101.92,35.954
