number,Site name,Longitude(E),Latitude(N),Elevation(m),Culture,Lab code,Material dated,14C age(BP),1σ,Median (cal BP),Data references
1,Mozuizi,102.656,37.785,1791,Machang,OZK667,wheat,2115,50,2092,Dodson et al. (2013)
2,Mozuizi,102.656,37.785,1791,Qijia,OZK667,wheat,2115,50,2092,Dodson et al. (2013)
3,Mozuizi,102.656,37.785,1791,Majiayao,OZK667,wheat,2115,50,2092,Dodson et al. (2013)
4,Hongzhuangxitan,102.551,35.814,1948,Kayue,LUG10-216,Charcoal,2136,68,2136,Dong et al. (2013a)
5,Lamafeng,102.816,35.861,1791,Majiayao,LUG08-106,Total organic carbon,2188,54,2195,Ma et al. (2012)
6,Mazongshan,96.81,41.842,1826,Shanma,LZU16197,barley,2195,25,2240,Yang et al. (2019)
7,Yangou,102.431,35.88,1883,Kayue,LUG11-71,Charcoal,2223,45,2241,Dong et al. (2013a)
8,Huoshitan,103.516,38.958,1306,Shajin,LZU15150,barley,2355,30,2363,Yang et al. (2019)
9,Lamafeng,102.816,35.861,1791,Xindian,BA141076,Charcoal,2335,25,2368,Hou et al. (2012)
10,Liuhudun,102.93,38.546,1380,Shajin,LZU16203,wheat,2425,30,2453,Yang et al. (2019)
11,Jiaoridang,102.387,35.776,2242,Kayue,LUG11-34,Charcoal,2486,68,2551,Dong et al. (2013a)
12,Gudongtan,94.031,39.919,1274,Shanma,LZU15153,wheat,2485,35,2581,Yang et al. (2019)
13,Guohuitai,101.161,38.442,2300,Shanma,LZU13159,barley,2505,20,2581,Dong et al. (2018)
14,Sanjiaocheng,103.316,38.993,1321,Shajin,LZU15113,barley,2500,25,2584,Dong et al. (2018)
15,Gagai,101.751,36.392,2711,Kayue,LUG10-190,Charcoal,2520,46,2595,Dong et al. (2013a)
16,Lianhuatai,103.165,35.769,1777,Xindian,BK84103,Human bones,2540,120,2604,"Institute of Archaeology, CASS. (1991)"
17,Xincun,102.314,35.856,1934,Kayue,LUG11-70,Charcoal,2547,48,2616,Dong et al. (2013a)
18,Tawendaliha,97.4,36.1,2861,Nuomuhong,LUG12-56,Charcoal,2604,56,2671,Dong et al. (2016)
19,Shanpingtai,101.374,36.022,2252,Kayue,ZK-1105,Wood,2640,70,2709,"Institute of Archaeology, CASS. (1991)"
20,Lucheng,101.725,41.792,946,Shanma,LZU16200,barley,2565,30,2726,Dong et al. (2018)
21,Panjialiang,101.568,36.752,2505,Kayue,ZK-1327,Human bones,2660,105,2748,"Institute of Archaeology, CASS. (1991)"
22,Zhaojiashuimo,98.506,39.763,1451,Shanma,LZU15115,barley,2630,20,2754,Dong et al. (2018)
23,Xigang,102.298,38.62,1424,Shajin,ZK0792,wood,2700,90,2825,Gansu Provincial Institute of Cultural Relics and Archaeology (2001)
24,Huoshaogou,97.7,39.938,1774,Shanma,LZU15121,barley,2770,25,2862,Dong et al. (2018)
25,Dayukou,100.802,35.568,3133,Kayue,ZK-1325,Wood,2720,75,2865,"Institute of Archaeology, CASS. (1991)"
26,Shuangerdongping,102.512,36.448,1941,Xindian,BA110903,Charred barly seeds,2770,25,2866,Dong et al. (2014)
27,Longshan,101.189,36.73,2731,Kayue,BA110910,Charred barly seeds,2790,20,2882,Dong et al. (2014)
28,Talitaliha,96.4,36.4,2799,Nuomuhong,BA120680,Charcoal,2880,25,3016,Dong et al. (2016)
29,Maolinshan,102.553,37.828,1785,Machang,Beta418807,barley,2900,30,3033,Dong et al. (2018)
30,Erfang,102.826,35.864,1782,Xndian,LUG10-56,Charcoal,2924,68,3099,Dong et al. (2013a)
31,Jiatuhu,100.78,35.562,3159,Kayue,BK77055,Charcoal,2930,90,3102,"Institute of Archaeology, CASS. (1991)"
32,Shangsunjiazhai,101.739,36.761,2399,Kayue,BK80014,Charcoal,2930,80,3102,"Institute of Archaeology, CASS. (1991)"
33,Hamadun,102.288,38.606,1428,Shajin,BK79065,wood,2950,160,3116,Gansu Provincial Institute of Cultural Relics and Archaeology (2001)
34,Xindian,103.786,35.61,1862,Xindian,LUG12-123,Charcoal,2958,86,3121,Dong et al. (2014)
35,Guantang,100.834,36.002,2605,Kayue,ZK-1326,Wood,2980,75,3158,"Institute of Archaeology, CASS. (1991)"
36,Mozuizi,102.656,37.785,1791,Machang,LZU15104,wheat,2990,25,3171,Dong et al. (2018)
37,Yingwoshu,96.331,40.389,1350,Siba,LZU16204,wheat,3000,35,3185,Yang et al. (2019)
38,Dongfengxinan,102.027,35.999,2038,Kayue,Beta292121,Charred barly seeds,3010,40,3207,Dong et al. (2014)
39,Maluyuan,103.367,35.9,1800,Machang,BK84106,Charcoal,3080,95,3272,"Institute of Archaeology, CASS. (1991)"
40,Dadunwan,97.697,39.933,1789,Siba,LZU15110,wheat,3155,20,3380,Yang et al. (2019)
41,Sibatan,101.069,38.737,1792,Siba,LZU13158,wheat,3180,20,3404,Yang et al. (2019)
42,Wenjia,102.874,35.872,1802,Xindian,LUG10-62,Charcoal,3224,45,3466,Dong et al. (2013a)
43,Donghuishan,100.748,38.659,1648,Siba,OZK653,Charred wheat seeds,3260,45,3483,Zhou et al. (2012)
44,Ganguya,98.856,39.387,1836,Siba,BK87063,wood,3300,80,3533,Li (1993)
45,Mogou,103.781,34.978,2347,Qijia,Beta427234,Barley,3330,30,3558,Liu et al. (2017)
46,Mogou,103.781,34.978,2347,Majiayao,Beta427234,Barley,3330,30,3558,Liu et al. (2017)
47,Mogou,103.781,34.978,2347,Siwa,Beta427234,Barley,3330,30,3558,Liu et al. (2017)
48,Hulijia,102.826,35.883,1844,Xindian,LUG10-59,Charcoal,3343,112,3617,Dong et al. (2013a)
49,Shaliuheqiaodong,100.148,37.309,3276,Qijia,Beta303693,Charred capers,3380,30,3630,Dong et al. (2014)
50,Heishuiguo,100.345,39.015,3224,Siba,QAS1317,Teas/dur,3400,25,3639,Liu et al. (2017)
51,Lijiageleng,102.886,37.523,1804,Qijia,LZU15112,barley,3415,25,3663,Dong et al. (2018)
52,Huoshaogou,97.7,39.938,1774,Shanma,OZK672,wheat,3430,50,3688,Dodson et al. (2009)
53,Gongshijia,102.311,35.941,2027,Qijia,LUG11-62,Charcoal,3413,49,3697,Dong et al. (2013a)
54,Xihuishan,100.626,38.72,1654,Xichengyi,LZU15109,wheat,3445,20,3697,Dong et al. (2018)
55,Tuolongdumen,102.422,35.859,1975,Kayue,BK81027,Charcoal,3450,80,3699,"Institute of Archaeology, CASS. (1991)"
56,Heishuiguo,100.345,39.015,3224,Xichengyi,QAS1311,Teas/dur,3430,25,3716,Liu et al. (2017)
57,Shaguoliang,97.723,40.246,1266,Siba,OZK668,wheat,3450,60,3717,Dodson et al. (2013)
58,Heishuiguo,100.345,39.015,3224,Machang,QAS1312,Teas/dur,3460,25,3736,Liu et al. (2017)
59,Xihuishan,100.626,38.72,1654,Siba,LZU13151,wheat,3480,45,3755,Yang et al. (2019)
60,Yigediwonan,99.182,40.109,1211,Xichengyi,LZU14226,foxtail millet,3500,20,3770,Yang et al. (2019)
61,Huoshaogou,97.7,39.95,1751,Siba,ZK-0409,Charcoal,3490,100,3780,"Institute of Archaeology, CASS. (1991)"
62,Jinchankou,102.5,36.9,2309,Qijia,BA130846,Wheat,3515,25,3783,Yang (2014)
63,Huangniangniangtai,102.606,37.935,1532,Qijia,OZK418,Charred wheat seeds,3570,60,3886,Zhou et al. (2012)
64,Dahezhuang,103.367,35.9,1962,Qijia,ZK-0015,Charred wood,3570,95,3890,"Institute of Archaeology, CASS. (1991)"
65,Xichengyi,100.345,39.015,1462,Qijia,ZK－3462,Charred  plant,3589,26,3904,Zhang (2015)
66,Huoshiliang,99.245,40.212,1198,Xichengyi,OZK600,Charcoal,3601,57,3905,Atahan et al. (2011b)
67,Xichengyi,100.345,39.015,1462,Siba,ZK－3470,Charred wheat,3602,22,3910,Zhang (2015)
68,Guanzizui,104.302,35.273,2126,Qijia,BA120217,Charred millet seeds,3630,30,3965,Dong et al. (2014)
69,Nuomuhong,96.4,36.45,2792,Nuomuhong,ZK-0061,Wood,3670,90,4004,"Institute of Archaeology, CASS. (1991)"
70,Xichengyi,100.345,39.015,1462, Xichengyi,ZK－3488,Charred  plant,3680,23,4008,Zhang (2015)
71,Wuba,102.876,37.61,1834,Qijia,MW12,human bone,3685,30,4029,Liu et al. (2014)
72,Shuikou,103.083,37.933,1978,Machang,LZU15103,foxtail millet,3695,20,4035,Yang et al. (2019)
73,Xinjia,102.839,35.878,1815,Qijia,BA110887,Charred millet seeds,3690,30,4036,Dong et al. (2014)
74,Qipanshan,102.32,37.968,1927,Machang,LZU15106,foxtail millet,3715,20,4036,Yang et al. (2019)
75,Xitai,102.881,37.505,2029,Machang,LZU15105,broomcorn millet,3700,25,4036,Dong et al. (2018)
76,Xichengyi,100.345,39.015,1462,Machang,ZK－3464,Charred  plant,3700,24,4059,Zhang (2015)
77,Baojia,102.796,35.866,1823,Qijia,LUG10-72,Bulk organic matter,3707,55,4063,Dong et al. (2013a)
78,Duojialiang,103.083,37.65,1820,Machang,LZU15114,foxtail millet,3730,20,4083,Dong et al. (2018)
79,Gaoquding,100.685,35.905,3051,Qijia,BK77052,Charcoal,3700,90,4092,"Institute of Archaeology, CASS. (1991)"
80,Wuba,102.876,37.61,1834,Xichengyi,MW11,human bone,3740,30,4096,Liu et al. (2014)
81,Xichengyi,100.342,39.015,1462,Machang,LZU15134,foxtail millet,3745,25,4108,Yang et al. (2019)
82,Tuhulu,96.431,40.437,1346,Xichengyi,OZQ808,charcoal,3765,35,4129,Zhou et al. (2016)
83,Tuhulu,96.431,40.437,1346,Shanma,OZQ808,charcoal,3765,35,4129,Zhou et al. (2016)
84,Tuhulu,96.431,40.437,1346,Siba,OZQ808,charcoal,3765,35,4129,Zhou et al. (2016)
85,Meijia,102.05,36.13,2545,Qijia,LUG10-183,Charcoal,3767,50,4162,Dong et al. (2013a)
86,Xihetan,99.084,39.361,1587,Machang,OZK666,broomcorn/foxtail millet,3795,50,4184,Zhou et al. (2016)
87,Lifuzhai,102.741,37.667,1856,Machang,OZQ807,charcoal,3835,35,4241,Zhou et al. (2016)
